crop_id,display_name,crop_group,in_earas,in_price
CR01,Arhar,pulse,False,True
CR02,Bajra,cereal,False,True
CR03,Biri,pulse,True,True
CR04,Castor,oilseed,False,True
CR05,Cotton,fibre,False,True
CR06,Gram,pulse,False,True
CR07,Groundnut,oilseed,True,True
CR08,Jowar,cereal,False,True
CR09,Jute,fibre,True,True
CR10,Kulthi,pulse,True,True
CR11,Linseed,oilseed,False,True
CR12,Maize,cereal,True,True
CR13,Mung,pulse,True,True
CR14,Mustard,oilseed,True,True
CR15,Nizer,oilseed,True,False
CR16,Onion,vegetable,False,True
CR17,Paddy,cereal,True,True
CR18,Potato,tuber,True,True
CR19,Ragi,cereal,True,True
CR20,Sugarcane,sugar,True,True
CR21,Sunflower,oilseed,False,True
CR22,Til,oilseed,True,True
CR23,Wheat,cereal,True,True
