name_as_published,normalised_key,district_id,display_name,label_type,n_sources,occurrences,sources
STATE,STATE,OD00,Odisha (state total),state_total,2,198,earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x
ORISSA  STATE,ORISSASTATE,OD00,Odisha (state total),state_total,1,27,earas_2022_23:distwise_minorcrops_AYP2022-23
Odisha,ODISHA,OD00,Odisha (state total),state_total,2,2,OES_2026:Table 3.13; district_at_a_glance_2026
TOTAL,TOTAL,OD00,Odisha (state total),state_total,2,2,OES_2026:Table 3.2; OES_2026:Table 3.6
Grand Total,GRANDTOTAL,OD00,Odisha (state total),state_total,1,1,OES_2026:Table 3.20
Total,TOTAL,OD00,Odisha (state total),state_total,1,1,OES_2026:Table 5. 9
Angul,ANGUL,OD01,Angul,district,20,682,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf
ANGUL,ANGUL,OD01,Angul,district,1,108,earas_2022_23:blockwise_LUS_202223
ANUGUL,ANUGUL,OD01,Angul,district,1,27,earas_2022_23:distwise_minorcrops_AYP2022-23
Anugul,ANUGUL,OD01,Angul,district,3,19,OES_2026:Table 5. 8; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables
Balangir,BALANGIR,OD02,Balangir,district,10,513,OES_2026:Table 5. 8; OES_2026:Table 6.7; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x
