district_id,display_name,lgd_name,lgd_code,census_2011_code,headquarters,state_name,state_lgd_code,code_verification
OD01,Angul,Anugul,344,384,Angul,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD02,Balangir,Balangir,345,393,Balangir,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD03,Balasore,Baleshwar,346,377,Balasore,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD04,Bargarh,Bargarh,347,370,Bargarh,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD05,Bhadrak,Bhadrak,348,378,Bhadrak,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD06,Boudh,Boudh,349,391,Boudh,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD07,Cuttack,Cuttack,350,381,Cuttack,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD08,Deogarh,Deogarh,351,373,Deogarh,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD09,Dhenkanal,Dhenkanal,352,383,Dhenkanal,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD10,Gajapati,Gajapati,353,389,Paralakhemundi,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD11,Ganjam,Ganjam,354,388,Chhatrapur,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD12,Jagatsinghpur,Jagatsinghapur,355,380,Jagatsinghpur,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD13,Jajpur,Jajapur,356,382,Jajpur,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD14,Jharsuguda,Jharsuguda,357,371,Jharsuguda,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD15,Kalahandi,Kalahandi,358,395,Bhawanipatna,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD16,Kandhamal,Kandhamal,359,390,Phulbani,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD17,Kendrapara,Kendrapara,360,379,Kendrapara,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD18,Keonjhar,Kendujhar,361,375,Keonjhar,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD19,Khordha,Khordha,362,386,Khordha,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD20,Koraput,Koraput,363,398,Koraput,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD21,Malkangiri,Malkangiri,364,399,Malkangiri,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD22,Mayurbhanj,Mayurbhanj,365,376,Baripada,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD23,Nabarangpur,Nabarangpur,366,397,Nabarangpur,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD24,Nayagarh,Nayagarh,367,385,Nayagarh,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD25,Nuapada,Nuapada,368,394,Nuapada,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD26,Puri,Puri,369,387,Puri,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD27,Rayagada,Rayagada,370,396,Rayagada,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD28,Sambalpur,Sambalpur,371,372,Sambalpur,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD29,Subarnapur,Subarnapur,372,392,Sonepur,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
OD30,Sundargarh,Sundargarh,373,374,Sundargarh,Odisha,21,lgd_code and census_2011_code to be verified against lgdirectory.gov.in / Census 2011 before release
