name_as_published,n_sources,sources,occurrences,district_id,label_type,normalised_key,display_name
ANGUL,1,earas_2022_23:blockwise_LUS_202223,108,OD01,district,ANGUL,Angul
ANUGUL,1,earas_2022_23:distwise_minorcrops_AYP2022-23,27,OD01,district,ANUGUL,Angul
Angul,20,OES_2026:Table 3.13; OES_2026:Table 3.2; OES_2026:Table 3.20; OES_2026:Table 3.4; OES_2026:Table 3.6; OES_2026:Table 5. 9; OES_2026:Table 6.2; OES_2026:Table 6.7; OES_2026:Table 9.5; district_at_a_glance_2026; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:table_1.1; earas_report_2024_25:tables_5.x; price_stats_2020_pdf,682,OD01,district,ANGUL,Angul
Anugul,3,OES_2026:Table 5. 8; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables,19,OD01,district,ANUGUL,Angul
BALANGIR,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,207,OD02,district,BALANGIR,Balangir
BALASORE,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,183,OD03,district,BALASORE,Balasore
BARAGARH,1,earas_2022_23:blockwise_LUS_202223,156,OD04,district,BARAGARH,Bargarh
BARGARH,1,earas_2022_23:distwise_minorcrops_AYP2022-23,27,OD04,district,BARGARH,Bargarh
BHADRAK,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,123,OD05,district,BHADRAK,Bhadrak
BOUDH,2,earas_2022_23:blockwise_LUS_202223; earas_2022_23:distwise_minorcrops_AYP2022-23,75,OD06,district,BOUDH,Boudh
Balangir,10,OES_2026:Table 5. 8; OES_2026:Table 6.7; earas_2022_23:blockwise_paddy_AYP_2022-23; earas_2023_24:blockwise_LUS_2023_24; earas_2023_24:blockwise_paddy_AYP_2023_24; earas_2023_24:dist_paddy_AYP_2023-24; earas_2023_24:distwise_minor_crop_AYP_2023-24; earas_report_2022_23:district_tables; earas_report_2023_24:district_tables; earas_report_2024_25:tables_5.x,513,OD02,district,BALANGIR,Balangir
