reference_year,source_report,pdf_page,table_no,sl_no,district_as_published,is_state_total,land_use_category,measure,unit,raw_value,value,cell_status
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Forest,area,'000 ha,112,112,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Forest,pct_of_area_under_survey,%,26.42,26.42,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Land put to non-agricultural uses,area,'000 ha,59,59,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,13.92,13.92,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Barren and un-cultivable land,area,'000 ha,10,10,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Barren and un-cultivable land,pct_of_area_under_survey,%,2.36,2.36,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Permanent pastures and other grazing land,area,'000 ha,21,21,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,4.95,4.95,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,5,5,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,1.18,1.18,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Cultivable waste,area,'000 ha,32,32,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Cultivable waste,pct_of_area_under_survey,%,7.55,7.55,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Old fallows,area,'000 ha,39,39,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Old fallows,pct_of_area_under_survey,%,9.20,9.20,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Current fallows,area,'000 ha,47,47,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Current fallows,pct_of_area_under_survey,%,11.08,11.08,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Net area sown,area,'000 ha,99,99,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Net area sown,pct_of_area_under_survey,%,23.35,23.35,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Total area under survey,area,'000 ha,424,424,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Total area under survey,pct_of_geographical_area,%,68.06,68.06,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Area not included under survey,area,'000 ha,199,199,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,1,Angul,0,Geographical area,area,'000 ha,623,623,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Forest,area,'000 ha,46,46,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Forest,pct_of_area_under_survey,%,8.47,8.47,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Land put to non-agricultural uses,area,'000 ha,56,56,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,10.31,10.31,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Barren and un-cultivable land,area,'000 ha,16,16,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Barren and un-cultivable land,pct_of_area_under_survey,%,2.95,2.95,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Permanent pastures and other grazing land,area,'000 ha,42,42,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,7.73,7.73,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,1,1,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,0.18,0.18,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Cultivable waste,area,'000 ha,24,24,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Cultivable waste,pct_of_area_under_survey,%,4.42,4.42,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Old fallows,area,'000 ha,33,33,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Old fallows,pct_of_area_under_survey,%,6.08,6.08,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Current fallows,area,'000 ha,61,61,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Current fallows,pct_of_area_under_survey,%,11.23,11.23,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Net area sown,area,'000 ha,264,264,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Net area sown,pct_of_area_under_survey,%,48.62,48.62,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Total area under survey,area,'000 ha,543,543,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Total area under survey,pct_of_geographical_area,%,82.65,82.65,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Area not included under survey,area,'000 ha,114,114,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,2,Bolangir,0,Geographical area,area,'000 ha,657,657,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Forest,area,'000 ha,10,10,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Forest,pct_of_area_under_survey,%,2.87,2.87,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Land put to non-agricultural uses,area,'000 ha,58,58,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Land put to non-agricultural uses,pct_of_area_under_survey,%,16.62,16.62,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Barren and un-cultivable land,area,'000 ha,8,8,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Barren and un-cultivable land,pct_of_area_under_survey,%,2.29,2.29,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Permanent pastures and other grazing land,area,'000 ha,14,14,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Permanent pastures and other grazing land,pct_of_area_under_survey,%,4.01,4.01,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Land under misc. tree crops & groves not included in net area sown,area,'000 ha,10,10,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Land under misc. tree crops & groves not included in net area sown,pct_of_area_under_survey,%,2.87,2.87,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Cultivable waste,area,'000 ha,22,22,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Cultivable waste,pct_of_area_under_survey,%,6.30,6.30,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Old fallows,area,'000 ha,15,15,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Old fallows,pct_of_area_under_survey,%,4.30,4.30,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Current fallows,area,'000 ha,24,24,ok
2024-25,..\raw\earas\2024-25\Technical_Report_EARAS_2024-25_Odisha.pdf,65,1.1,3,Balasore,0,Current fallows,pct_of_area_under_survey,%,6.88,6.88,ok
