table_no,pdf_page,price_type,commodity,sl_no,district_as_published,year,raw_value,price_rs_per_quintal,cell_status
1,49,Farm Harvest,Paddy,1,Angul,2013-14,1310*,1310,provisional
1,49,Farm Harvest,Paddy,1,Angul,2014-15,1360*,1360,provisional
1,49,Farm Harvest,Paddy,1,Angul,2015-16,1410*,1410,provisional
1,49,Farm Harvest,Paddy,1,Angul,2016-17,1470*,1470,provisional
1,49,Farm Harvest,Paddy,1,Angul,2017-18,1550*,1550,provisional
1,49,Farm Harvest,Paddy,1,Angul,2018-19,1750*,1750,provisional
1,49,Farm Harvest,Paddy,2,Balasore,2013-14,1310*,1310,provisional
1,49,Farm Harvest,Paddy,2,Balasore,2014-15,1360*,1360,provisional
1,49,Farm Harvest,Paddy,2,Balasore,2015-16,1410*,1410,provisional
1,49,Farm Harvest,Paddy,2,Balasore,2016-17,1470*,1470,provisional
1,49,Farm Harvest,Paddy,2,Balasore,2017-18,1550*,1550,provisional
1,49,Farm Harvest,Paddy,2,Balasore,2018-19,1750*,1750,provisional
1,49,Farm Harvest,Paddy,3,Bargarh,2013-14,1310*,1310,provisional
1,49,Farm Harvest,Paddy,3,Bargarh,2014-15,1360*,1360,provisional
1,49,Farm Harvest,Paddy,3,Bargarh,2015-16,1410*,1410,provisional
1,49,Farm Harvest,Paddy,3,Bargarh,2016-17,1470*,1470,provisional
1,49,Farm Harvest,Paddy,3,Bargarh,2017-18,1550*,1550,provisional
1,49,Farm Harvest,Paddy,3,Bargarh,2018-19,1750*,1750,provisional
1,49,Farm Harvest,Paddy,4,Bhadrak,2013-14,1310*,1310,provisional
1,49,Farm Harvest,Paddy,4,Bhadrak,2014-15,1360*,1360,provisional
1,49,Farm Harvest,Paddy,4,Bhadrak,2015-16,1410*,1410,provisional
1,49,Farm Harvest,Paddy,4,Bhadrak,2016-17,1470*,1470,provisional
1,49,Farm Harvest,Paddy,4,Bhadrak,2017-18,1550*,1550,provisional
1,49,Farm Harvest,Paddy,4,Bhadrak,2018-19,1750*,1750,provisional
1,49,Farm Harvest,Paddy,5,Bolangir,2013-14,1310*,1310,provisional
1,49,Farm Harvest,Paddy,5,Bolangir,2014-15,1360*,1360,provisional
1,49,Farm Harvest,Paddy,5,Bolangir,2015-16,1410*,1410,provisional
1,49,Farm Harvest,Paddy,5,Bolangir,2016-17,1470*,1470,provisional
1,49,Farm Harvest,Paddy,5,Bolangir,2017-18,1550*,1550,provisional
1,49,Farm Harvest,Paddy,5,Bolangir,2018-19,1750*,1750,provisional
1,49,Farm Harvest,Paddy,6,Boudh,2013-14,1310*,1310,provisional
1,49,Farm Harvest,Paddy,6,Boudh,2014-15,1360*,1360,provisional
1,49,Farm Harvest,Paddy,6,Boudh,2015-16,1410*,1410,provisional
1,49,Farm Harvest,Paddy,6,Boudh,2016-17,1470*,1470,provisional
1,49,Farm Harvest,Paddy,6,Boudh,2017-18,1550*,1550,provisional
1,49,Farm Harvest,Paddy,6,Boudh,2018-19,1750*,1750,provisional
1,49,Farm Harvest,Paddy,7,Cuttack,2013-14,1310*,1310,provisional
1,49,Farm Harvest,Paddy,7,Cuttack,2014-15,1360*,1360,provisional
1,49,Farm Harvest,Paddy,7,Cuttack,2015-16,1410*,1410,provisional
1,49,Farm Harvest,Paddy,7,Cuttack,2016-17,1470*,1470,provisional
1,49,Farm Harvest,Paddy,7,Cuttack,2017-18,1550*,1550,provisional
1,49,Farm Harvest,Paddy,7,Cuttack,2018-19,1750*,1750,provisional
1,49,Farm Harvest,Paddy,8,Deogarh,2013-14,1310*,1310,provisional
1,49,Farm Harvest,Paddy,8,Deogarh,2014-15,1360,1360,ok
1,49,Farm Harvest,Paddy,8,Deogarh,2015-16,1410,1410,ok
1,49,Farm Harvest,Paddy,8,Deogarh,2016-17,1470*,1470,provisional
1,49,Farm Harvest,Paddy,8,Deogarh,2017-18,1550*,1550,provisional
1,49,Farm Harvest,Paddy,8,Deogarh,2018-19,1750*,1750,provisional
1,49,Farm Harvest,Paddy,9,Dhenkanal,2013-14,1310*,1310,provisional
1,49,Farm Harvest,Paddy,9,Dhenkanal,2014-15,1360*,1360,provisional
1,49,Farm Harvest,Paddy,9,Dhenkanal,2015-16,1410*,1410,provisional
1,49,Farm Harvest,Paddy,9,Dhenkanal,2016-17,1470*,1470,provisional
1,49,Farm Harvest,Paddy,9,Dhenkanal,2017-18,1550*,1550,provisional
1,49,Farm Harvest,Paddy,9,Dhenkanal,2018-19,1750*,1750,provisional
1,49,Farm Harvest,Paddy,10,Gajpati,2013-14,1310*,1310,provisional
1,49,Farm Harvest,Paddy,10,Gajpati,2014-15,1360*,1360,provisional
1,49,Farm Harvest,Paddy,10,Gajpati,2015-16,1410*,1410,provisional
1,49,Farm Harvest,Paddy,10,Gajpati,2016-17,1470*,1470,provisional
