Year,District,Block,Code,Block_Urban,Land Use Category,Area in Ha
2023-24,Angul,Athamalik,81,Block,Forest,20477
2023-24,Angul,Athamalik,81,Block,Land_put_to_Non_Agricultural_use,5741
2023-24,Angul,Athamalik,81,Block,Barren_&_Non_Cultivable_land,2063
2023-24,Angul,Athamalik,81,Block,Permanent_Pastures_&_other_grazing_land,4793
2023-24,Angul,Athamalik,81,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,431
2023-24,Angul,Athamalik,81,Block,Cultivable_Waste,2196
2023-24,Angul,Athamalik,81,Block,Old_Fallows,5808
2023-24,Angul,Athamalik,81,Block,Current_Fallows,6056
2023-24,Angul,Athamalik,81,Block,Net_Area_Sown_Irrigated,4359
2023-24,Angul,Athamalik,81,Block,Net_Area_Sown_Unirrigated,15998
2023-24,Angul,Athamalik,81,Block,Net_Area_Sown_Total,20357
2023-24,Angul,Athamalik,81,Block,Total_Area_under_Survey,67922
2023-24,Angul,Angul,82,Block,Forest,12152
2023-24,Angul,Angul,82,Block,Land_put_to_Non_Agricultural_use,3196
2023-24,Angul,Angul,82,Block,Barren_&_Non_Cultivable_land,1335
2023-24,Angul,Angul,82,Block,Permanent_Pastures_&_other_grazing_land,3118
2023-24,Angul,Angul,82,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,513
2023-24,Angul,Angul,82,Block,Cultivable_Waste,5351
2023-24,Angul,Angul,82,Block,Old_Fallows,4461
2023-24,Angul,Angul,82,Block,Current_Fallows,4517
2023-24,Angul,Angul,82,Block,Net_Area_Sown_Irrigated,614
2023-24,Angul,Angul,82,Block,Net_Area_Sown_Unirrigated,12950
2023-24,Angul,Angul,82,Block,Net_Area_Sown_Total,13564
2023-24,Angul,Angul,82,Block,Total_Area_under_Survey,48207
2023-24,Angul,Banarpal,90,Block,Forest,1963
2023-24,Angul,Banarpal,90,Block,Land_put_to_Non_Agricultural_use,5998
2023-24,Angul,Banarpal,90,Block,Barren_&_Non_Cultivable_land,168
2023-24,Angul,Banarpal,90,Block,Permanent_Pastures_&_other_grazing_land,2386
2023-24,Angul,Banarpal,90,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,337
2023-24,Angul,Banarpal,90,Block,Cultivable_Waste,1220
2023-24,Angul,Banarpal,90,Block,Old_Fallows,3386
2023-24,Angul,Banarpal,90,Block,Current_Fallows,3928
2023-24,Angul,Banarpal,90,Block,Net_Area_Sown_Irrigated,3770
2023-24,Angul,Banarpal,90,Block,Net_Area_Sown_Unirrigated,10409
2023-24,Angul,Banarpal,90,Block,Net_Area_Sown_Total,14179
2023-24,Angul,Banarpal,90,Block,Total_Area_under_Survey,33565
2023-24,Angul,Kishorenagar,91,Block,Forest,18889
2023-24,Angul,Kishorenagar,91,Block,Land_put_to_Non_Agricultural_use,2864
2023-24,Angul,Kishorenagar,91,Block,Barren_&_Non_Cultivable_land,4639
2023-24,Angul,Kishorenagar,91,Block,Permanent_Pastures_&_other_grazing_land,2214
2023-24,Angul,Kishorenagar,91,Block,Land_under_misc_tree_crop_&_groves_not_included_in_net_area_sown,816
2023-24,Angul,Kishorenagar,91,Block,Cultivable_Waste,2200
2023-24,Angul,Kishorenagar,91,Block,Old_Fallows,3309
2023-24,Angul,Kishorenagar,91,Block,Current_Fallows,7105
2023-24,Angul,Kishorenagar,91,Block,Net_Area_Sown_Irrigated,307
2023-24,Angul,Kishorenagar,91,Block,Net_Area_Sown_Unirrigated,17702
2023-24,Angul,Kishorenagar,91,Block,Net_Area_Sown_Total,18009
2023-24,Angul,Kishorenagar,91,Block,Total_Area_under_Survey,60045
2023-24,Angul,Cheendipada,92,Block,Forest,9510
2023-24,Angul,Cheendipada,92,Block,Land_put_to_Non_Agricultural_use,5023
2023-24,Angul,Cheendipada,92,Block,Barren_&_Non_Cultivable_land,702
