Year,District,Block,Block_Urban,Season,Crop,Area_ha,Yield_qtl_per_ha,Production_qtls
2023-24,Angul,Athamallik,Block,Autumn,Paddy,,,
2023-24,Angul,Athamallik,Block,Winter,Paddy,13544,54.54,738634
2023-24,Angul,Athamallik,Block,Summer,Paddy,999,48.57,48523
2023-24,Angul,Angul,Block,Autumn,Paddy,,,
2023-24,Angul,Angul,Block,Winter,Paddy,18309,51.67,946082
2023-24,Angul,Angul,Block,Summer,Paddy,,,
2023-24,Angul,Banarpal,Block,Autumn,Paddy,,,
2023-24,Angul,Banarpal,Block,Winter,Paddy,13085,54.9,718412
2023-24,Angul,Banarpal,Block,Summer,Paddy,,,
2023-24,Angul,Kishorenagar,Block,Autumn,Paddy,,,
2023-24,Angul,Kishorenagar,Block,Winter,Paddy,21900,55.64,1218578
2023-24,Angul,Kishorenagar,Block,Summer,Paddy,6,37.46,225
2023-24,Angul,Chhendipada,Block,Autumn,Paddy,3,32.57,98
2023-24,Angul,Chhendipada,Block,Winter,Paddy,16251,46.68,758545
2023-24,Angul,Chhendipada,Block,Summer,Paddy,,,
2023-24,Angul,Kaniha,Block,Autumn,Paddy,134,31.48,4218
2023-24,Angul,Kaniha,Block,Winter,Paddy,22210,42.42,942194
2023-24,Angul,Kaniha,Block,Summer,Paddy,,,
2023-24,Angul,Talcher,Block,Autumn,Paddy,,,
2023-24,Angul,Talcher,Block,Winter,Paddy,460,51.49,23685
2023-24,Angul,Talcher,Block,Summer,Paddy,,,
2023-24,Angul,Palalahada,Block,Autumn,Paddy,3015,30.36,91544
2023-24,Angul,Palalahada,Block,Winter,Paddy,9882,46.27,457214
2023-24,Angul,Palalahada,Block,Summer,Paddy,,,
2023-24,Angul,Urban,Urban,Autumn,Paddy,66,30.41,2007
2023-24,Angul,Urban,Urban,Winter,Paddy,1157,52.96,61280
2023-24,Angul,Urban,Urban,Summer,Paddy,2,48.57,97
2023-24,Balangir,Bangamunda,Block,Autumn,Paddy,1016,32.36,32876
2023-24,Balangir,Bangamunda,Block,Winter,Paddy,9774,44.62,436130
2023-24,Balangir,Bangamunda,Block,Summer,Paddy,124,28.46,3530
2023-24,Balangir,Titilagarh,Block,Autumn,Paddy,2410,30.35,73152
2023-24,Balangir,Titilagarh,Block,Winter,Paddy,14031,47.26,663119
2023-24,Balangir,Titilagarh,Block,Summer,Paddy,184,40.71,7490
2023-24,Balangir,Saintala,Block,Autumn,Paddy,2049,29.54,60534
2023-24,Balangir,Saintala,Block,Winter,Paddy,10435,46.97,490094
2023-24,Balangir,Saintala,Block,Summer,Paddy,220,57.72,12699
2023-24,Balangir,Muribahal,Block,Autumn,Paddy,1937,21.16,40990
2023-24,Balangir,Muribahal,Block,Winter,Paddy,11435,33.19,379522
2023-24,Balangir,Muribahal,Block,Summer,Paddy,10,28.07,281
2023-24,Balangir,Tureikela,Block,Autumn,Paddy,3045,18.62,56695
2023-24,Balangir,Tureikela,Block,Winter,Paddy,9278,30.62,284097
2023-24,Balangir,Tureikela,Block,Summer,Paddy,176,35.04,6167
2023-24,Balangir,Belapada,Block,Autumn,Paddy,5690,27.56,156820
2023-24,Balangir,Belapada,Block,Winter,Paddy,9533,29.74,283514
2023-24,Balangir,Belapada,Block,Summer,Paddy,50,50.01,2501
2023-24,Balangir,Khaprakhol,Block,Autumn,Paddy,2887,31.21,90109
2023-24,Balangir,Khaprakhol,Block,Winter,Paddy,12132,42.43,514808
2023-24,Balangir,Khaprakhol,Block,Summer,Paddy,622,38.76,24111
2023-24,Balangir,Patnagarh,Block,Autumn,Paddy,827,21.91,18119
2023-24,Balangir,Patnagarh,Block,Winter,Paddy,18225,40.5,738199
2023-24,Balangir,Patnagarh,Block,Summer,Paddy,798,40.61,32404
2023-24,Balangir,Deogaon,Block,Autumn,Paddy,2653,35.87,95152
2023-24,Balangir,Deogaon,Block,Winter,Paddy,9705,49.19,477368
2023-24,Balangir,Deogaon,Block,Summer,Paddy,1259,44.77,56372
2023-24,Balangir,Tentulikhunti,Block,Autumn,Paddy,1189,37.61,44719
2023-24,Balangir,Tentulikhunti,Block,Winter,Paddy,4812,39.69,191001
