Year,District,Season ,Crop_Paddy_Rice,Area_000ha,Yield_rate_qtl_ha,Production_000MT
2023-24,Angul,Autumn,Paddy,3.22,30.41,9.79
2023-24,Angul,Autumn,Rice,3.22,20.07,6.46
2023-24,Angul,Winter,Paddy,116.8,50.21,586.46
2023-24,Angul,Winter,Rice,116.8,33.14,387.07
2023-24,Angul,Summer,Paddy,1.01,48.51,4.88
2023-24,Angul,Summer,Rice,1.01,32.01,3.22
2023-24,Balangir,Autumn,Paddy,35.67,27.6,98.45
2023-24,Balangir,Autumn,Rice,35.67,18.22,64.98
2023-24,Balangir,Winter,Paddy,139.05,41.52,577.35
2023-24,Balangir,Winter,Rice,139.05,27.4,381.05
2023-24,Balangir,Summer,Paddy,6.18,43.77,27.04
2023-24,Balangir,Summer,Rice,6.18,28.89,17.85
2023-24,Balasore,Autumn,Paddy,,,
2023-24,Balasore,Autumn,Rice,,,
2023-24,Balasore,Winter,Paddy,178.99,41.99,751.58
2023-24,Balasore,Winter,Rice,178.99,27.71,496.05
2023-24,Balasore,Summer,Paddy,52.31,51.45,269.12
2023-24,Balasore,Summer,Rice,52.31,33.95,177.62
2023-24,Bargarh,Autumn,Paddy,42.35,30.63,129.71
2023-24,Bargarh,Autumn,Rice,42.35,20.22,85.61
2023-24,Bargarh,Winter,Paddy,207.05,53.12,1099.83
2023-24,Bargarh,Winter,Rice,207.05,35.06,725.89
2023-24,Bargarh,Summer,Paddy,101.57,52.87,537
2023-24,Bargarh,Summer,Rice,101.57,34.89,354.42
2023-24,Bhadrak,Autumn,Paddy,,,
2023-24,Bhadrak,Autumn,Rice,,,
2023-24,Bhadrak,Winter,Paddy,144.13,39.55,569.97
2023-24,Bhadrak,Winter,Rice,144.13,26.1,376.18
2023-24,Bhadrak,Summer,Paddy,2.03,41.61,8.43
2023-24,Bhadrak,Summer,Rice,2.03,27.46,5.57
2023-24,Boudh,Autumn,Paddy,0.95,38.45,3.65
2023-24,Boudh,Autumn,Rice,0.95,25.38,2.41
2023-24,Boudh,Winter,Paddy,61.15,49.43,302.29
2023-24,Boudh,Winter,Rice,61.15,32.63,199.51
2023-24,Boudh,Summer,Paddy,3.55,50.81,18.03
2023-24,Boudh,Summer,Rice,3.55,33.54,11.9
2023-24,Cuttack,Autumn,Paddy,0.57,34.81,1.97
2023-24,Cuttack,Autumn,Rice,0.57,22.97,1.3
2023-24,Cuttack,Winter,Paddy,105.74,46.31,489.71
2023-24,Cuttack,Winter,Rice,105.74,30.57,323.21
2023-24,Cuttack,Summer,Paddy,2.26,57.76,13.08
2023-24,Cuttack,Summer,Rice,2.26,38.12,8.63
2023-24,Deogarh,Autumn,Paddy,10.99,35.75,39.27
2023-24,Deogarh,Autumn,Rice,10.99,23.59,25.92
2023-24,Deogarh,Winter,Paddy,27.45,47.89,131.44
2023-24,Deogarh,Winter,Rice,27.45,31.61,86.75
2023-24,Deogarh,Summer,Paddy,0.24,28.45,0.68
2023-24,Deogarh,Summer,Rice,0.24,18.77,0.45
2023-24,Dhenkanal,Autumn,Paddy,0.65,35.4,2.28
2023-24,Dhenkanal,Autumn,Rice,0.65,23.36,1.51
2023-24,Dhenkanal,Winter,Paddy,88.29,53.14,469.19
2023-24,Dhenkanal,Winter,Rice,88.29,35.07,309.66
2023-24,Dhenkanal,Summer,Paddy,0.89,43.88,3.93
2023-24,Dhenkanal,Summer,Rice,0.89,28.96,2.59
2023-24,Gajapati,Autumn,Paddy,,,
2023-24,Gajapati,Autumn,Rice,,,
2023-24,Gajapati,Winter,Paddy,39.63,31.13,123.36
2023-24,Gajapati,Winter,Rice,39.63,20.54,81.42
2023-24,Gajapati,Summer,Paddy,1.22,31.42,3.83
2023-24,Gajapati,Summer,Rice,1.22,20.74,2.53
2023-24,Ganjam,Autumn,Paddy,0.42,42.53,1.79
2023-24,Ganjam,Autumn,Rice,0.42,28.07,1.18
2023-24,Ganjam,Winter,Paddy,288.77,38.19,1102.92
2023-24,Ganjam,Winter,Rice,288.77,25.21,727.92
2023-24,Ganjam,Summer,Paddy,0.02,37.17,0.09
2023-24,Ganjam,Summer,Rice,0.02,24.54,0.06
2023-24,Jagatsinghpur,Autumn,Paddy,0.09,33.38,0.29
2023-24,Jagatsinghpur,Autumn,Rice,0.09,22.02,0.19
2023-24,Jagatsinghpur,Winter,Paddy,79.04,44.36,350.65
2023-24,Jagatsinghpur,Winter,Rice,79.04,29.28,231.43
2023-24,Jagatsinghpur,Summer,Paddy,1.13,52.52,5.92
2023-24,Jagatsinghpur,Summer,Rice,1.13,34.66,3.91
2023-24,Jajpur,Autumn,Paddy,17.05,25.39,43.3
2023-24,Jajpur,Autumn,Rice,17.05,16.76,28.58
2023-24,Jajpur,Winter,Paddy,114.04,35.33,402.88
2023-24,Jajpur,Winter,Rice,114.04,23.32,265.9
2023-24,Jajpur,Summer,Paddy,4.27,42.27,18.03
2023-24,Jajpur,Summer,Rice,4.27,27.9,11.9
2023-24,Jharsuguda,Autumn,Paddy,13.52,38.43,51.95
2023-24,Jharsuguda,Autumn,Rice,13.52,25.37,34.29
2023-24,Jharsuguda,Winter,Paddy,21.83,49.52,108.11
2023-24,Jharsuguda,Winter,Rice,21.83,32.68,71.35
2023-24,Jharsuguda,Summer,Paddy,1.92,64.9,12.46
2023-24,Jharsuguda,Summer,Rice,1.92,42.84,8.22
2023-24,Kalahandi,Autumn,Paddy,9.05,21.53,19.49
2023-24,Kalahandi,Autumn,Rice,9.05,14.21,12.86
2023-24,Kalahandi,Winter,Paddy,184.04,46.3,852.1
2023-24,Kalahandi,Winter,Rice,184.04,30.56,562.38
2023-24,Kalahandi,Summer,Paddy,62.67,47.59,298.27
2023-24,Kalahandi,Summer,Rice,62.67,31.41,196.86
2023-24,Kandhamal,Autumn,Paddy,0.54,22.43,1.21
2023-24,Kandhamal,Autumn,Rice,0.54,14.81,0.79
2023-24,Kandhamal,Winter,Paddy,35.49,29.64,105.21
2023-24,Kandhamal,Winter,Rice,35.49,19.57,69.44
2023-24,Kandhamal,Summer,Paddy,0.65,41.9,2.71
2023-24,Kandhamal,Summer,Rice,0.65,27.65,1.79
2023-24,Kendrapada,Autumn,Paddy,0.55,30.95,1.71
2023-24,Kendrapada,Autumn,Rice,0.55,20.43,1.13
