Year,District,Season,Minor_Crop ,Area_ha,Yield_rate_qtl_per_ha,Production_qtls
2023-24,Angul,Autumn,Wheat,,,
2023-24,Angul,Autumn,Maize,290,27.86,8079
2023-24,Angul,Autumn,Ragi,384,8.73,3352
2023-24,Angul,Autumn,Mung,519,3.84,1993
2023-24,Angul,Autumn,Biri,638,4.05,2584
2023-24,Angul,Autumn,Kulthi,,,
2023-24,Angul,Autumn,Til,234,2.25,527
2023-24,Angul,Autumn,Groundnut,445,17.35,7721
2023-24,Angul,Autumn,Mustard,,,
2023-24,Angul,Autumn,Nizer,,,
2023-24,Angul,Autumn,Jute,,,
2023-24,Angul,Autumn,Potato,,,
2023-24,Angul,Autumn,Sugarcane,,,
2023-24,Angul,Summer,Wheat,,,
2023-24,Angul,Summer,Maize,33,36.35,1200
2023-24,Angul,Summer,Ragi,5,4.22,21
2023-24,Angul,Summer,Mung,432,3.9,1685
2023-24,Angul,Summer,Biri,346,4.09,1415
2023-24,Angul,Summer,Kulthi,,,
2023-24,Angul,Summer,Til,134,2.36,316
2023-24,Angul,Summer,Groundnut,925,19.05,17621
2023-24,Angul,Summer,Mustard,,,
2023-24,Angul,Summer,Nizer,,,
2023-24,Angul,Summer,Jute,,,
2023-24,Angul,Summer,Potato,,,
2023-24,Angul,Summer,Sugarcane,,,
2023-24,Angul,Winter,Wheat,,,
2023-24,Angul,Winter,Maize,18,35.17,633
2023-24,Angul,Winter,Ragi,354,6.6,2336
2023-24,Angul,Winter,Mung,2938,3.99,11723
2023-24,Angul,Winter,Biri,2409,4.24,10214
2023-24,Angul,Winter,Kulthi,2492,4.49,11189
2023-24,Angul,Winter,Til,400,2.01,804
2023-24,Angul,Winter,Groundnut,,,
2023-24,Angul,Winter,Mustard,898,2.56,2299
2023-24,Angul,Winter,Nizer,,,
2023-24,Angul,Winter,Jute,,,
2023-24,Angul,Winter,Potato,1627,174.72,284269
2023-24,Angul,Winter,Sugarcane,15,556.67,8350
2023-24,Balangir,Autumn,Wheat,,,
2023-24,Balangir,Autumn,Maize,1694,37.56,63620
2023-24,Balangir,Autumn,Ragi,1952,4.2,8198
2023-24,Balangir,Autumn,Mung,4341,3.74,16235
2023-24,Balangir,Autumn,Biri,2174,4.4,9566
2023-24,Balangir,Autumn,Kulthi,,,
2023-24,Balangir,Autumn,Til,275,2.07,569
