agri_year,month_start,calendar_year,month,district_id,district,price_type,commodity,price_rs_per_quintal,unit,data_origin,annual_level_basis,annual_level_rs_per_quintal,generator_version,generator_seed
2013-14,2014-02-01,2014,2,OD01,Angul,Farm Harvest,Biri,4525.2,Rs/quintal,synthetic,published,4488.0,synthetic-prices-v1,20260917
2013-14,2014-03-01,2014,3,OD01,Angul,Farm Harvest,Biri,4512.17,Rs/quintal,synthetic,published,4488.0,synthetic-prices-v1,20260917
2013-14,2014-04-01,2014,4,OD01,Angul,Farm Harvest,Biri,4426.64,Rs/quintal,synthetic,published,4488.0,synthetic-prices-v1,20260917
2014-15,2015-02-01,2015,2,OD01,Angul,Farm Harvest,Biri,5032.34,Rs/quintal,synthetic,published,5066.0,synthetic-prices-v1,20260917
2014-15,2015-03-01,2015,3,OD01,Angul,Farm Harvest,Biri,5083.81,Rs/quintal,synthetic,published,5066.0,synthetic-prices-v1,20260917
2014-15,2015-04-01,2015,4,OD01,Angul,Farm Harvest,Biri,5081.85,Rs/quintal,synthetic,published,5066.0,synthetic-prices-v1,20260917
2015-16,2016-02-01,2016,2,OD01,Angul,Farm Harvest,Biri,5534.9,Rs/quintal,synthetic,published,5533.0,synthetic-prices-v1,20260917
2015-16,2016-03-01,2016,3,OD01,Angul,Farm Harvest,Biri,5510.54,Rs/quintal,synthetic,published,5533.0,synthetic-prices-v1,20260917
2015-16,2016-04-01,2016,4,OD01,Angul,Farm Harvest,Biri,5553.56,Rs/quintal,synthetic,published,5533.0,synthetic-prices-v1,20260917
2016-17,2017-02-01,2017,2,OD01,Angul,Farm Harvest,Biri,5970.67,Rs/quintal,synthetic,published,6018.0,synthetic-prices-v1,20260917
2016-17,2017-03-01,2017,3,OD01,Angul,Farm Harvest,Biri,6120.7,Rs/quintal,synthetic,published,6018.0,synthetic-prices-v1,20260917
2016-17,2017-04-01,2017,4,OD01,Angul,Farm Harvest,Biri,5962.64,Rs/quintal,synthetic,published,6018.0,synthetic-prices-v1,20260917
2017-18,2018-02-01,2018,2,OD01,Angul,Farm Harvest,Biri,5823.58,Rs/quintal,synthetic,published,5847.0,synthetic-prices-v1,20260917
2017-18,2018-03-01,2018,3,OD01,Angul,Farm Harvest,Biri,5843.43,Rs/quintal,synthetic,published,5847.0,synthetic-prices-v1,20260917
2017-18,2018-04-01,2018,4,OD01,Angul,Farm Harvest,Biri,5873.99,Rs/quintal,synthetic,published,5847.0,synthetic-prices-v1,20260917
2018-19,2019-02-01,2019,2,OD01,Angul,Farm Harvest,Biri,5407.99,Rs/quintal,synthetic,published,5496.0,synthetic-prices-v1,20260917
2018-19,2019-03-01,2019,3,OD01,Angul,Farm Harvest,Biri,5457.61,Rs/quintal,synthetic,published,5496.0,synthetic-prices-v1,20260917
2018-19,2019-04-01,2019,4,OD01,Angul,Farm Harvest,Biri,5622.4,Rs/quintal,synthetic,published,5496.0,synthetic-prices-v1,20260917
2019-20,2020-02-01,2020,2,OD01,Angul,Farm Harvest,Biri,5869.63,Rs/quintal,synthetic,projected,5788.68,synthetic-prices-v1,20260917
