price_type,commodity,district_id,agri_year,basis,annual_level,months
Farm Harvest,Biri,OD01,2013-14,published,4488.0,3
Farm Harvest,Biri,OD01,2014-15,published,5066.0,3
Farm Harvest,Biri,OD01,2015-16,published,5533.0,3
Farm Harvest,Biri,OD01,2016-17,published,6018.0,3
Farm Harvest,Biri,OD01,2017-18,published,5847.0,3
Farm Harvest,Biri,OD01,2018-19,published,5496.0,3
Farm Harvest,Biri,OD01,2019-20,projected,5788.68,3
Farm Harvest,Biri,OD01,2020-21,projected,6096.94,3
Farm Harvest,Biri,OD01,2021-22,projected,6421.62,3
Farm Harvest,Biri,OD01,2022-23,projected,6763.59,3
Farm Harvest,Biri,OD01,2023-24,projected,7123.77,3
Farm Harvest,Biri,OD01,2024-25,projected,7503.13,3
Farm Harvest,Biri,OD02,2013-14,published,4294.0,3
Farm Harvest,Biri,OD02,2014-15,published,4587.0,3
Farm Harvest,Biri,OD02,2015-16,published,5076.0,3
Farm Harvest,Biri,OD02,2016-17,published,5600.0,3
Farm Harvest,Biri,OD02,2017-18,published,6128.0,3
Farm Harvest,Biri,OD02,2018-19,published,6400.0,3
Farm Harvest,Biri,OD02,2019-20,projected,6740.82,3
Farm Harvest,Biri,OD02,2020-21,projected,7099.79,3
Farm Harvest,Biri,OD02,2021-22,projected,7477.87,3
Farm Harvest,Biri,OD02,2022-23,projected,7876.09,3
Farm Harvest,Biri,OD02,2023-24,projected,8295.51,3
Farm Harvest,Biri,OD02,2024-25,projected,8737.27,3
Farm Harvest,Biri,OD03,2013-14,published,4294.0,3
Farm Harvest,Biri,OD03,2014-15,published,4765.0,3
Farm Harvest,Biri,OD03,2015-16,published,5350.0,3
Farm Harvest,Biri,OD03,2016-17,published,5875.0,3
Farm Harvest,Biri,OD03,2017-18,published,7042.0,3
Farm Harvest,Biri,OD03,2018-19,published,5192.0,3
Farm Harvest,Biri,OD03,2019-20,projected,5468.49,3
Farm Harvest,Biri,OD03,2020-21,projected,5759.7,3
Farm Harvest,Biri,OD03,2021-22,projected,6066.42,3
Farm Harvest,Biri,OD03,2022-23,projected,6389.48,3
Farm Harvest,Biri,OD03,2023-24,projected,6729.73,3
Farm Harvest,Biri,OD03,2024-25,projected,7088.11,3
Farm Harvest,Biri,OD04,2013-14,published,4183.0,3
Farm Harvest,Biri,OD04,2014-15,published,4721.0,3
Farm Harvest,Biri,OD04,2015-16,published,5340.0,3
Farm Harvest,Biri,OD04,2016-17,published,5856.0,3
Farm Harvest,Biri,OD04,2017-18,published,5189.0,3
Farm Harvest,Biri,OD04,2018-19,published,5458.0,3
Farm Harvest,Biri,OD04,2019-20,projected,5748.65,3
Farm Harvest,Biri,OD04,2020-21,projected,6054.79,3
Farm Harvest,Biri,OD04,2021-22,projected,6377.22,3
Farm Harvest,Biri,OD04,2022-23,projected,6716.83,3
Farm Harvest,Biri,OD04,2023-24,projected,7074.52,3
Farm Harvest,Biri,OD04,2024-25,projected,7451.25,3
Farm Harvest,Biri,OD05,2013-14,published,4163.0,3
Farm Harvest,Biri,OD05,2014-15,published,4659.0,3
Farm Harvest,Biri,OD05,2015-16,published,5260.0,3
Farm Harvest,Biri,OD05,2016-17,published,5500.0,3
Farm Harvest,Biri,OD05,2017-18,published,5639.0,3
Farm Harvest,Biri,OD05,2018-19,published,5985.0,3
Farm Harvest,Biri,OD05,2019-20,projected,6303.72,3
Farm Harvest,Biri,OD05,2020-21,projected,6639.41,3
Farm Harvest,Biri,OD05,2021-22,projected,6992.98,3
Farm Harvest,Biri,OD05,2022-23,projected,7365.37,3
Farm Harvest,Biri,OD05,2023-24,projected,7757.6,3
Farm Harvest,Biri,OD05,2024-25,projected,8170.71,3
